Token: ABRE_PAR, Lexema: '(', Linha: 19, Coluna: 9
Token: ID, Lexema: 'valor', Linha: 19, Coluna: 10
Token: FECHA_PAR, Lexema: ')', Linha: 19, Coluna: 15
Token: PONTO_VIR, Lexema: ';', Linha: 19, Coluna: 16
Token: ESCREVER, Lexema: 'escrever', Linha: 20, Coluna: 1
Token: ABRE_PAR, Lexema: '(', Linha: 20, Coluna: 9
Token: ASPAS, Lexema: '"', Linha: 20, Coluna: 10
Token: ASPAS, Lexema: '"', Linha: 20, Coluna: 11
Token: FECHA_PAR, Lexema: ')', Linha: 20, Coluna: 12
Token: PONTO_VIR, Lexema: ';', Linha: 20, Coluna: 13
Token: ID, Lexema: 'valor', Linha: 21, Coluna: 1
Token: IGUAL, Lexema: '=', Linha: 21, Coluna: 6
Token: ID, Lexema: 'valor', Linha: 21, Coluna: 7
Token: OP_ARIT, Lexema: '*', Linha: 21, Coluna: 12
Token: ABRE_PAR, Lexema: '(', Linha: 21, Coluna: 13
Token: ID, Lexema: 'i', Linha: 21, Coluna: 14
Token: OP_ARIT, Lexema: '-', Linha: 21, Coluna: 15
Token: ID, Lexema: 'j', Linha: 21, Coluna: 16
Token: FECHA_PAR, Lexema: ')', Linha: 21, Coluna: 17
Token: OP_ARIT, Lexema: '/', Linha: 21, Coluna: 18
Token: ABRE_PAR, Lexema: '(', Linha: 21, Coluna: 19
Token: ID, Lexema: 'j', Linha: 21, Coluna: 20
Token: OP_ARIT, Lexema: '+', Linha: 21, Coluna: 21
Token: NUMERO, Lexema: '1', Linha: 21, Coluna: 22
Token: FECHA_PAR, Lexema: ')', Linha: 21, Coluna: 23
Token: PONTO_VIR, Lexema: ';', Linha: 21, Coluna: 24
Token: ID, Lexema: 'j', Linha: 22, Coluna: 1
Token: IGUAL, Lexema: '=', Linha: 22, Coluna: 2
Token: ID, Lexema: 'j', Linha: 22, Coluna: 3
Token: OP_ARIT, Lexema: '+', Linha: 22, Coluna: 4
Token: NUMERO, Lexema: '1', Linha: 22, Coluna: 5
Token: PONTO_VIR, Lexema: ';', Linha: 22, Coluna: 6
Token: FIM, Lexema: 'fim', Linha: 23, Coluna: 1
Token: ESCREVER, Lexema: 'escrever', Linha: 24, Coluna: 1
Token: ABRE_PAR, Lexema: '(', Linha: 24, Coluna: 9
Token: ASPAS, Lexema: '"', Linha: 24, Coluna: 10
ERRO LÉXICO [Linha 24, Coluna 11]: Símbolo '\' inválido.
Token: ID, Lexema: 'n', Linha: 24, Coluna: 12
Token: ASPAS, Lexema: '"', Linha: 24, Coluna: 13
Token: FECHA_PAR, Lexema: ')', Linha: 24, Coluna: 14
Token: PONTO_VIR, Lexema: ';', Linha: 24, Coluna: 15
Token: ID, Lexema: 'i', Linha: 25, Coluna: 1
Token: IGUAL, Lexema: '=', Linha: 25, Coluna: 2
Token: ID, Lexema: 'i', Linha: 25, Coluna: 3
Token: OP_ARIT, Lexema: '+', Linha: 25, Coluna: 4
Token: NUMERO, Lexema: '1', Linha: 25, Coluna: 5
Token: PONTO_VIR, Lexema: ';', Linha: 25, Coluna: 6
Token: FIM, Lexema: 'fim', Linha: 26, Coluna: 1
Token: ID, Lexema: 'fimalgoritmo', Linha: 27, Coluna: 1
